Outcome,Treatment,Primary Estimate,Adjusted Estimate,Adjusted CI Lower,Adjusted CI Upper,Adjusted P-Value,Permutation P-Value,Sensitivity Estimate,Notes
Spend,Mens E-Mail,0.7698271558945368,0.7640074464500328,0.47927630880454,1.0487385840955257,1.4476891997522693e-07,9.999000099990002e-05,0.7640074464500328,OLS HC3
Spend,Womens E-Mail,0.4244122159365967,0.42588655513802964,0.17034063751255013,0.6814324727635092,0.0010891354681845944,0.0013998600139986002,0.42588655513802964,OLS HC3
Conversion,Mens E-Mail,0.0068050065196156,0.007966766115433462,0.005418346662488055,0.010515185568378868,8.946129544261921e-10,,0.007966766115433462,Logistic AME HC3
Conversion,Womens E-Mail,0.0031110575110852,0.004335540585921251,0.0018247350528124671,0.0068463461190300355,0.0007134091605256099,,0.004335540585921251,Logistic AME HC3
Visit,Mens E-Mail,0.0765895636515312,0.0835179909745781,0.07577609971119209,0.09125988223796411,3.153347909245848e-99,,0.0835179909745781,Logistic AME HC3
Visit,Womens E-Mail,0.0452331065870529,0.05310524431664305,0.04544432721049349,0.060766161422792606,4.821516536609486e-42,,0.05310524431664305,Logistic AME HC3
